50000199069,22274926585,10121,18/09/2023
50000087770,AGENCY-2309181295259,15000,19/09/2023
50000087700,AGENCY-2309181295225,30000,20/09/2023
50000086475,AGENCY-2309181295177,30000,21/09/2023
50000093407,AGENCY-2309181295110,15000,22/09/2023
50000104284,AGENCY-2309181295042,152000,23/09/2023
50000087669,AGENCY-2309181294890,50000,24/09/2023
50000208774,AGENCY-2309181294828,20000,25/09/2023
50000233656,AGENCY-2309181194698,10000,26/09/2023
50000087646,AGENCY-2309181194662,20000,27/09/2023
50000226543,22270027076,22142,28/09/2023
50000087624,22269441034,51410,29/09/2023
50000087486,22214934062,33000,30/09/2023
50000087722,22211328800,20000,01/10/2023
50000193389,AGENCY-2309140918908,25000,02/10/2023
50000087797,AGENCY-2309140918852,20000,03/10/2023
50000087786,AGENCY-2309140918827,10000,04/10/2023
50000087767,AGENCY-2309140918801,14700,05/10/2023
50000199070,AGENCY-2309140918753,7000,06/10/2023
50000098932,AGENCY-2309140918724,17000,07/10/2023
50000087483,AGENCY-2309140918701,14700,08/10/2023
50000087818,AGENCY-2309140918677,12000,09/10/2023
50000087693,AGENCY-2309140918631,10000,10/10/2023
50000238971,AGENCY-2309140918606,20000,11/10/2023
50000087539,AGENCY-2309140918582,30000,12/10/2023
50000192741,AGENCY-2309140918552,6800,13/10/2023
50000087521,AGENCY-2309140918517,41000,14/10/2023
50000087742,AGENCY-2309140918489,10000,15/10/2023
50000087598,AGENCY-2309140918467,40000,16/10/2023
50000098087,AGENCY-2309140918433,31000,17/10/2023
50000102744,AGENCY-2309140918412,27000,18/10/2023
50000087776,AGENCY-2309140918371,10000,19/10/2023
50000087760,AGENCY-2309140918344,13000,20/10/2023
50000102766,AGENCY-2309140918320,10000,21/10/2023
50000087796,AGENCY-2309140918283,5000,22/10/2023
50000202467,AGENCY-2309140918241,11000,23/10/2023
50000087791,AGENCY-2309140918217,30000,24/10/2023
50000087784,AGENCY-2309140918196,40000,25/10/2023
50000087774,AGENCY-2309140918171,10300,26/10/2023
50000202475,AGENCY-2309140918152,13700,27/10/2023
50000125573,AGENCY-2309140918126,16000,28/10/2023
50000087759,AGENCY-2309140918109,14000,29/10/2023
50000202477,AGENCY-2309140918076,8400,30/10/2023
50000093407,AGENCY-2309140918022,14900,31/10/2023
50000202469,AGENCY-2309140917986,5000,01/11/2023
50000148111,AGENCY-2309140917945,10000,02/11/2023
50000087810,AGENCY-2309140917877,40200,03/11/2023
50000087675,AGENCY-2309140917847,27000,04/11/2023
50000087700,AGENCY-2309140817815,10000,05/11/2023
50000102724,AGENCY-2309140817785,40000,06/11/2023
50000148115,AGENCY-2309140817685,15000,07/11/2023
50000087663,AGENCY-2309140817659,10000,08/11/2023
50000199102,AGENCY-2309140817630,36000,09/11/2023
50000098924,AGENCY-2309140817618,16900,10/11/2023
50000098086,AGENCY-2309140817599,250000,11/11/2023
50000125572,AGENCY-2309140817582,20000,12/11/2023
50000102767,AGENCY-2309140817562,89700,13/11/2023
50000087514,AGENCY-2309140817544,7000,14/11/2023
50000093406,AGENCY-2309140817524,50000,15/11/2023
50000102715,AGENCY-2309140817503,30000,16/11/2023
50000087746,AGENCY-2309140817490,100000,17/11/2023
50000098933,AGENCY-2309140817465,10000,18/11/2023
50000098935,AGENCY-2309140817447,29200,19/11/2023
50000087491,AGENCY-2309140817425,11000,20/11/2023
50000087549,AGENCY-2309140817409,10000,21/11/2023
50000109648,AGENCY-2309140817394,20000,22/11/2023
50000086377,AGENCY-2309140817380,20000,23/11/2023
50000098934,AGENCY-2309140817368,20000,24/11/2023
50000098951,22210249624,15000,25/11/2023
50000087729,AGENCY-2309140817357,13000,26/11/2023
50000202462,AGENCY-2309140817346,20000,27/11/2023
50000087768,AGENCY-2309140817327,10000,28/11/2023
50000087804,AGENCY-2309140817292,13000,29/11/2023
50000102766,AGENCY-2309140817273,10000,30/11/2023
50000087499,AGENCY-2309140817227,12000,01/12/2023
50000207172,22206501248,18250,02/12/2023
50000199063,22200027597,36900,03/12/2023
50000087752,13/9/2023002,162717,04/12/2023
50000086563,13/9/2023001,385717,05/12/2023
50000102781,22186567462,60000,06/12/2023
50000087611,22186044340,11000,07/12/2023
50000125582,22176272825,18000,08/12/2023
50000087590,22169236902,30000,09/12/2023
50000087591,22169189596,6000,10/12/2023
50000233654,AGENCY-2309091626418,66600,11/12/2023
50000087494,8092023001,196456,12/12/2023
50000241400,AGENCY-2309081910663,7200,13/12/2023
50000192739,AGENCY-2309081910641,13000,14/12/2023
50000087587,AGENCY-2309081910607,24000,15/12/2023
50000098936,AGENCY-2309081910578,40000,16/12/2023
50000087510,AGENCY-2309081910554,70000,17/12/2023
50000087545,AGENCY-2309081910517,26000,18/12/2023
50000086681,AGENCY-2309081899740,10000,19/12/2023
50000220030,AGENCY-2309081899700,10000,20/12/2023
50000102758,AGENCY-2309081899668,8400,21/12/2023
50000087758,AGENCY-2309081899619,22600,22/12/2023
50000087493,AGENCY-2309081899593,80000,23/12/2023
50000233652,AGENCY-2309081899567,4000,24/12/2023
50000093406,AGENCY-2309081899514,40000,25/12/2023
50000102703,AGENCY-2309081899468,5000,26/12/2023
50000087820,22133420274,43000,27/12/2023
50000087507,22132127688,17300,28/12/2023
50000087626,22129095114,22092,29/12/2023
50000087498,22126361113,13304,30/12/2023
50000087496,22117932506,5983,31/12/2023
50000202464,22117177020,39531,01/01/2024
50000087601,22115091890,38000,02/01/2024
50000087672,22115076640,18000,03/01/2024
50000098929,22114307549,19000,04/01/2024
50000199066,22108872214,62615,05/01/2024
50000199073,AGENCY-2309062062924,24800,06/01/2024
50000087567,AGENCY-2309062062914,300000,07/01/2024
50000087668,AGENCY-2309062062904,10200,08/01/2024
50000087814,AGENCY-2309062062894,36500,09/01/2024
50000087644,AGENCY-2309062062888,11000,10/01/2024
50000087606,AGENCY-2309062062841,60000,11/01/2024
50000087586,AGENCY-2309062062869,20000,12/01/2024
50000226539,AGENCY-2309062062832,11700,13/01/2024
50000087691,AGENCY-2309062062857,20000,14/01/2024
50000087544,22107198714,19601,15/01/2024
50000087630,22106501885,14000,16/01/2024
50000086402,AGENCY-2309061961519,15900,17/01/2024
50000098078,AGENCY-2309061961495,50000,18/01/2024
50000093372,AGENCY-2309061961466,38800,19/01/2024
50000087800,AGENCY-2309061961436,17500,20/01/2024
50000109653,22099994491,37000,21/01/2024
50000202452,22099180568,8500,22/01/2024
50000104289,22098563214,26000,23/01/2024
50000109673,22097015893,11000,24/01/2024
50000087764,22096325038,97900,25/01/2024
50000087756,22096178461,17210,26/01/2024
50000087788,22092759804,8000,27/01/2024
50000199078,AGENCY-2309051837048,50500,28/01/2024
50000098080,AGENCY-2309051837007,8200,29/01/2024
50000102715,AGENCY-2309051736989,14200,30/01/2024
50000087798,AGENCY-2309051736958,10000,31/01/2024
50000148113,AGENCY-2309051736932,58200,01/02/2024
50000087813,AGENCY-2309051736864,66900,02/02/2024
50000086501,22089741584,27400,03/02/2024
50000087490,AGENCY-2309050920529,23363,04/02/2024
50000087497,22078008232,27000,05/02/2024
50000199059,22074893087,12100,06/02/2024
50000098931,AGENCY-2309041599985,4000,07/02/2024
50000233649,22073299352,8227,08/02/2024
50000087743,22069844696,12686,09/02/2024
50000087753,22067774949,16500,10/02/2024
50000087735,AGENCY-2309031783125,16000,11/02/2024
50000192732,22034946458,5000,12/02/2024
